EBS Barcode,LEGACY BARCODE,DESCRIPTION
1080100064811,8088700873706,GLUE MASTER HD WOOD PARQUET 1KL
1080100064828,8088700873713,GLUE MASTER VINYL 1KL
1080100064842,8088700875328,GYPSUM PUTTY MASTER 25KG PAIL
1080100064835,8088700873720,GYPSUM PUTTY MASTER GAL
1080100064859,8088700875335,MASONRY WALL PUTTY MASTER 1GAL
1090100086997,8107700809369,GLUE MASTER 196NH1 CONTACT CEMENT GAL.
1090100087000,8107700809383,GLUE MASTER POWER LIQUID NAILS TUBE 300CC/ML
1090100087208,8107700815377,GLUE MASTER T-NP2012 VINYL GAL.
1090100087215,8107700815384,GLUE MASTER T-PR5007H WOOD PARQUET GAL.
1090100101850,8125600891949,PU FOAM MASTER 300ML
1090100101867,8125600891956,PU FOAM MASTER 500ML
1080100098199,8118600867724,SEALANT MASTER W88 FLEXIBLE GAP FILLER
1090100091472,8111600864816,SILICONE TUBE SEALANT MASTER A11 ACETIC CLEAR
1090100098181,8118600864822,SILICONE TUBE SEALANT MASTER N33 NEUTRAL CLEAR
1090100447484,8110200987642,GLUE MASTER B72 WOOD PARQUET 250G
1090100447187,8110200987468,GLUE MASTER B2 WOOD PARQUET 4L
1090100447170,8110200987451,GLUE MASTER B10 WOOD PARQUET 1L
1090100447163,8110200987475,SUPER GLUE 288 MASTER 3G
1090100436518,8123300879014,SPRAY PAINT TACOMA MATTE BLACK 400ML
1090100100846,8123300879021,SPRAY PAINT TACOMA RED 400ML
1090100100853,8123300879038,SPRAY PAINT TACOMA BLACK 400ML
1090100100860,8123300879045,SPRAY PAINT TACOMA WHITE 400ML
1090100100877,8123300879052,SPRAY PAINT TACOMA GREEN 400ML
1090100100945,8123300879120,SPRAY PAINT TACOMA BLUE 400ML
1090100100884,8123300879069,SPRAY PAINT TACOMA YELLOW 400ML
1090100100891,8123300879076,SPRAY PAINT TACOMA LACQUER CLEAR 400ML
1090100100907,8123300879083,SPRAY PAINT TACOMA PRIMER GREY 400ML
1090100100914,8123300879090,SPRAY PAINT TACOMA SILVER MATTE 400ML
1090100100921,8123300879106,SPRAY PAINT TACOMA BRIGHT CHROME 400ML
1090100100938,8123300879113,SPRAY PAINT TACOMA BRIGHT GOLD 400ML
1090100436556,8123300980123,SPRAY PAINT TACOMA HEAT RESISTANT (600 DEGREE) SILVER
1090100436570,8123300980130,SPRAY PAINT TACOMA HEAT RESISTANT (600 DEGREE) BLACK
1090100436587,8123300980147,SPRAY PAINT TACOMA 1005 FLOURESCENT YELLOW
1090100436594,8123300980154,SPRAY PAINT TACOMA 1006 FLOURESCENT ORANGE
1090100436631,8123300980161,SPRAY PAINT TACOMA 1003 FLOURESCENT GREEN
1080100151399,4806505200060,SEEDS RAMGO UPO TAMBULI
1080100151405,4809010295002,SEEDS RAMGO AMPALAYA
1080100151412,4809010295019,SEEDS RAMGO CABBAGE
1080100151429,4809010295026,SEEDS RAMGO CHINESE CABBAGE
1080100151436,4809010295033,SEEDS RAMGO CARROTS
1080100151443,4809010295040,SEEDS RAMGO CUCUMBER
1080100151450,4809010295064,SEEDS RAMGO EGGPLANT
1080100151467,4809010295071,SEEDS RAMGO KANGKONG CHINESE UPLAND
1080100151474,4809010295125,SEEDS RAMGO OKRA
1080100151481,4809010295132,SEEDS RAMGO PATOLA PRADO ACE
1080100151498,4809010295149,SEEDS RAMGO ONION RED CREOLE
1080100151504,4809010295156,SEEDS RAMGO PETCHAY
1080100151511,4809010295163,SEEDS RAMGO BELL PEPPER
1080100151528,4809010295170,SEEDS RAMGO HOT PEPPER CINDYGANG
1080100151535,4809010295187,SEEDS RAMGO RADISH
1080100151542,4809010295194,SEEDS RAMGO BUSH SITAO
1080100151559,4809010295200,SEEDS RAMGO SITAW/POLE SITAO
1080100151566,4809010295224,SEEDS RAMGO SQUASH
1080100151573,4809010295286,SEEDS RAMGO SUGAR PEAS
1080100151580,4809010295293,SEEDS RAMGO BAGUIO BEANS
1080100168090,8018800897760,FERTILIZER RAMGO AMMONIUM PHOSPHATE 16-20-0 1KG
1080100168106,8018800897777,FERTILIZER RAMGO COMPLETE 14-14-14 1KG
1080100168113,8018800897784,FERTILIZER RAMGO UREA 46-0-0 1KG
